id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
101,2017,.50055265,.44173077,.21904925,.57555205,60.463467,54.713043,1.200271,1.0244813,.86696619,.65799999,0,.74791539,7.950633,.018404007,-1.5724063,59.245556,6.694315,66.682953,68.628723,-1.3881811,21.476109
101,2018,.51041257,.21904925,.50055265,.64775419,68.628723,57.873344,.71062607,.44173077,1.200271,-.91000003,0,.74791539,7.950633,.022354126,2.1684043,59.245556,-7.3405547,59.710712,58.654617,-1.5724063,21.494513
101,2019,.48719209,.50055265,.51041257,.58188099,58.654617,54.009369,.57555205,.21904925,.71062607,-.89899999,0,.74791539,7.950633,.010721207,-1.137321,59.245556,6.0643229,66.405029,54.713043,2.1684043,21.516867
101,2020,.34032685,.51041257,.48719209,.8803156,54.713043,61.249626,.64775419,.50055265,.57555205,-.118,0,.74791539,7.950633,.0096530914,1.0973585,59.245556,-.035162911,59.064472,57.873344,-1.137321,21.527588
102,2017,1.0812253,.88344961,.67261314,.57617658,60.917152,57.232334,1.4060419,.86515713,.72960472,.745,0,.7247743,7.4160528,.0088214874,-2.1630988,59.530304,3.4104702,67.034294,68.188095,.33745703,21.187532
102,2018,.82135677,.67261314,1.0812253,1.2644564,68.188095,61.219357,1.4930826,.88344961,1.4060419,-1.1849999,0,.7247743,7.4160528,.018608093,-1.8498892,59.530304,-4.401207,62.928173,60.827312,-2.1630988,21.196354
102,2019,.61572409,1.0812253,.82135677,.89945126,60.827312,55.524864,.57617658,.67261314,1.4930826,-.94099998,0,.7247743,7.4160528,-.0023040771,.43827334,59.530304,4.1085458,66.338646,57.232334,-1.8498892,21.214962
102,2020,-.13177764,.82135677,.61572409,1.5335742,57.232334,61.96714,1.2644564,1.0812253,.57617658,-.28600001,0,.7247743,7.4160528,.0027046204,2.350482,59.530304,1.7758801,61.937435,61.219357,.43827334,21.212658
103,2017,.31470814,.16532968,.19433628,-.14422834,57.723785,54.979153,.18588954,.45391724,.13551815,1.143,0,.7171104,7.2561746,.0047531128,-.96822101,51.487392,5.8948593,61.80949,66.170357,-.48285019,21.428576
103,2018,.31108302,.19433628,.31470814,.40645105,66.170357,56.767708,.11650709,.16532968,.18588954,-.96100003,0,.7171104,7.2561746,.01931572,1.8475225,51.487392,-5.2368555,57.0415,56.863174,-.96822101,21.433329
103,2019,.70791328,.31470814,.31108302,.032310527,56.863174,52.502903,-.14422834,.19433628,.11650709,-.829,0,.7171104,7.2561746,.0090065002,-.96715099,51.487392,4.1765885,62.936359,54.979153,1.8475225,21.452644
103,2020,-.6694209,.31108302,.70791328,.88585639,54.979153,62.450825,.40645105,.31470814,-.14422834,-.345,0,.7171104,7.2561746,.0053768158,-2.5512288,51.487392,3.2906599,57.699505,56.767708,-.96715099,21.461651
104,2017,.70093328,.20162137,.9898383,.6390022,61.137104,58.868515,.7411148,.82642359,.24322976,1.091,0,.69925231,7.4388089,.012237549,.60926133,52.297958,7.7971563,64.943024,67.313866,-.28646755,20.987448
104,2018,.84494942,.9898383,.70093328,.62476742,67.313866,59.25898,.36697793,.20162137,.7411148,-.21600001,0,.69925231,7.4388089,.0092773438,1.5037136,52.297958,-6.9152036,58.671593,57.590168,.60926133,20.999685
104,2019,.2023655,.70093328,.84494942,.52775145,57.590168,56.12191,.6390022,.9898383,.36697793,-1.283,0,.69925231,7.4388089,.0049209595,-4.3778281,52.297958,4.614747,66.46875,58.868515,1.5037136,21.008963
104,2020,.22608395,.84494942,.2023655,.78400624,58.868515,59.77179,.62476742,.70093328,.6390022,-.38800001,0,.69925231,7.4388089,.0086841583,-1.3111337,52.297958,.59471095,59.553547,59.25898,-4.3778281,21.013884
105,2017,-.99705428,-.7474972,-1.1791222,-1.0759752,52.930767,46.860561,-.18424645,-.18912196,-.026512178,.796,0,.7069695,3.2620018,.0013961792,2.8490882,60.706501,3.935991,60.377552,63.387928,-2.5809672,19.921021
105,2018,-1.3175837,-1.1791222,-.99705428,-.55644011,63.387928,49.232498,-.48693889,-.7474972,-.18424645,-1.131,0,.7069695,3.2620018,.0094432831,-1.25432,60.706501,-5.6578574,54.621597,51.630379,2.8490882,19.922417
105,2019,-.62114477,-.99705428,-1.3175837,-1.4969566,51.630379,42.816372,-1.0759752,-1.1791222,-.48693889,-.86699998,0,.7069695,3.2620018,.0010032654,1.2391385,60.706501,2.3314927,58.55759,46.860561,-1.25432,19.93186
105,2020,-.35452911,-1.3175837,-.62114477,.43624708,46.860561,55.33136,-.55644011,-.99705428,-1.0759752,-.233,0,.7069695,3.2620018,.00157547,-1.0079094,60.706501,7.5485477,52.899731,49.232498,1.2391385,19.932863
106,2017,.39071944,-.036332514,.24074169,.42373434,58.097321,54.963074,.59080756,.20184553,.58035189,.73100001,0,.72909564,7.8018122,.015420914,-1.1014034,57.71759,6.5110765,63.844978,64.954865,-.010218102,24.060905
106,2018,.47417051,.24074169,.39071944,.70859879,64.954865,57.472248,.55074805,-.036332514,.59080756,-1.2,0,.72909564,7.8018122,.021821976,-.73460811,57.71759,-6.038065,59.076038,56.182983,-1.1014034,24.076326
106,2019,.34652248,.39071944,.47417051,.43022662,56.182983,53.343079,.42373434,.24074169,.55074805,-1.012,0,.72909564,7.8018122,.010427475,-.52640331,57.71759,4.2911749,65.587112,54.963074,-.73460811,24.098148
106,2020,-.14046808,.47417051,.34652248,.83918256,54.963074,60.494511,.70859879,.39071944,.42373434,-.271,0,.72909564,7.8018122,.0069694519,.12630598,57.71759,.95868903,59.549049,57.472248,-.52640331,24.108576
107,2017,.52631128,-.14477305,-.021468889,.026986053,59.094406,53.298229,.76401842,.027364226,.31733224,.38999999,0,.71502817,7.4420266,.000047683716,-.86784399,50.177502,5.7109408,64.671448,64.884499,-7.384131,20.885754
107,2018,-.012535577,-.021468889,.52631128,.57884693,64.884499,58.575424,.2390354,-.14477305,.76401842,-1.272,0,.71502817,7.4420266,.014417648,-.37792563,50.177502,-4.7616239,57.775761,54.997089,-.86784399,20.885801
107,2019,.41779804,.52631128,-.012535577,-.009341293,54.997089,51.082222,.026986053,-.021468889,.2390354,-1.031,0,.71502817,7.4420266,.0025043488,.19102639,50.177502,3.1728446,63.486702,53.298229,-.37792563,20.900219
107,2020,-.21270142,-.012535577,.41779804,.85500342,53.298229,61.041393,.57884693,.52631128,.026986053,-.36399999,0,.71502817,7.4420266,.00094795227,-2.8546135,50.177502,3.1187239,58.725079,58.575424,.19102639,20.902723
108,2017,.46124607,-.51306468,.25847661,.4942098,55.495186,56.689819,.26279497,.4543972,-.13127229,.80800003,0,.71341187,7.7380404,-.0036354065,-.35359132,52.6712,9.2054033,62.490818,65.869736,-.2417677,20.554127
108,2018,-.13409568,.25847661,.46124607,-.075909682,65.869736,57.999786,.10567947,-.51306468,.26279497,-.92000002,0,.71341187,7.7380404,.022422791,-.36666474,52.6712,-8.5942535,56.950302,53.103756,-.35359132,20.550491
108,2019,.36102852,.46124607,-.13409568,-.42390081,53.103756,49.243896,.4942098,.25847661,.10567947,-.77499998,0,.71341187,7.7380404,.0066375732,-.45952839,52.6712,1.1711466,66.155708,56.689819,-.36666474,20.572914
108,2020,-.4632152,-.13409568,.36102852,.35645851,56.689819,60.369488,-.075909682,.46124607,.4942098,-.20200001,0,.71341187,7.7380404,-.0075759888,-3.5334618,52.6712,3.430259,57.561455,57.999786,-.45952839,20.579552
109,2017,.80229807,-.039390516,.35380307,.46978554,54.329304,55.699837,.01416977,.22657362,.054736692,.81400001,0,.68676275,7.8777976,.00072097778,-3.0724533,55.543667,6.5027895,61.959606,65.162567,4.770153,20.881166
109,2018,.063836165,.35380307,.80229807,.50669008,65.162567,59.968502,.36877486,-.039390516,.01416977,-1.2029999,0,.68676275,7.8777976,.012916565,-1.7906011,55.543667,-6.5263834,59.05439,57.279945,-3.0724533,20.881887
109,2019,.82508755,.80229807,.063836165,-.1335678,57.279945,51.101505,.46978554,.35380307,.36877486,-.97299999,0,.68676275,7.8777976,.0034503937,-2.0690472,55.543667,1.7557957,65.557182,55.699837,-1.7906011,20.894804
109,2020,-.18934289,.063836165,.82508755,.68783176,55.699837,62.962639,.50669008,.80229807,.46978554,-.156,0,.68676275,7.8777976,-.0069599152,-.21618226,55.543667,3.4287839,59.030796,59.968502,-2.0690472,20.898254
110,2017,.083385579,.18376851,.48381498,.11004537,59.568844,56.285358,.80729479,.81889504,-.018606177,.71600002,0,.72561502,7.1351781,.011789322,-1.5330204,51.932926,5.3014293,65.00367,67.644684,.24075028,21.374546
110,2018,.46702033,.48381498,.083385579,.33319405,67.644684,55.482288,.60677171,.18376851,.80729479,-1.165,0,.72561502,7.1351781,.020809174,1.9252429,51.932926,-7.0608649,59.200195,57.333595,-1.5330204,21.386335
110,2019,.61323386,.083385579,.46702033,.26497549,57.333595,53.843952,.11004537,.48381498,.60677171,-.82599998,0,.72561502,7.1351781,.014160156,-.45392281,51.932926,5.9143958,64.501625,56.285358,1.9252429,21.407145
110,2020,-.046411261,.46702033,.61323386,1.1713699,56.285358,61.699581,.33319405,.083385579,.11004537,-.117,0,.72561502,7.1351781,.014215469,.33561832,51.932926,2.9567461,57.440758,55.482288,-.45392281,21.421305
111,2017,.38385221,.035682842,.25527176,.23633705,55.664692,54.893337,.44772673,-.003642713,-.032426804,.66399997,0,.71695393,8.001174,.0091266632,-1.0595812,50.893635,5.6593451,63.428085,63.835491,1.2839351,21.948278
111,2018,.11189751,.25527176,.38385221,.6798594,63.835491,57.731308,.50604469,.035682842,.44772673,-1.179,0,.71695393,8.001174,.023813248,-.16707736,50.893635,-5.3170905,59.019386,56.441357,-1.0595812,21.957405
111,2019,.47682753,.38385221,.11189751,.2058956,56.441357,51.240971,.23633705,.25527176,.50604469,-1.051,0,.71695393,8.001174,.0029239655,.36055192,50.893635,3.5439847,64.678734,54.893337,-.16707736,21.981218
111,2020,-.033861488,.11189751,.47682753,.862831,54.893337,61.116253,.6798594,.38385221,.23633705,-.223,0,.71695393,8.001174,.0065860748,-1.7760061,50.893635,1.9685197,59.361641,57.731308,.36055192,21.984142
112,2017,.58895439,.13029274,1.0067058,.64300197,60.289158,58.898457,.77834618,1.0921406,.41383183,.27700001,0,.7309922,9.3045979,.0035095215,.093461402,51.802013,6.6891341,65.235901,68.574051,-.76282007,21.368275
112,2018,.75586218,1.0067058,.58895439,.63339251,68.574051,58.56403,.7486825,.13029274,.77834618,-1.104,0,.7309922,9.3045979,.020215988,-4.0418119,51.802013,-7.350419,60.078739,57.262047,.093461402,21.371784
112,2019,1.020382,.58895439,.75586218,.41659662,57.262047,55.186771,.64300197,1.0067058,.7486825,-.64200002,0,.7309922,9.3045979,.014451981,1.3486291,51.802013,4.2918158,66.767876,58.898457,-4.0418119,21.392
112,2020,.1989671,.75586218,1.020382,1.3542418,58.898457,63.916859,.63339251,.58895439,.64300197,-.227,0,.7309922,9.3045979,.0073852539,-.77050376,51.802013,3.5470123,59.417458,58.56403,1.3486291,21.406452
113,2017,.51373392,.20335118,.29680896,.38598835,59.233372,55.637451,.94085884,.48979631,.45410419,-.023,0,.72549564,9.3775787,.0035762787,.034541287,52.215,7.0120702,65.575935,66.547882,-3.8004439,20.57844
113,2018,.52632928,.29680896,.51373392,.54974854,66.547882,58.517944,.4440738,.20335118,.94085884,-2.313,0,.72549564,9.3775787,.023971558,-.67481291,52.215,-5.9927311,58.536018,57.21991,.034541287,20.582016
113,2019,.780985,.51373392,.52632928,.44612619,57.21991,54.310841,.38598835,.29680896,.4440738,-1.635,0,.72549564,9.3775787,.013334274,-1.0535381,52.215,4.6767449,65.548088,55.637451,-.67481291,20.605988
113,2020,-1.0929402,.52632928,.780985,.50491774,55.637451,62.716843,.54974854,.51373392,.38598835,-.50400001,0,.72549564,9.3775787,.01839447,.9458673,52.215,-1.076172,59.555359,58.517944,-1.0535381,20.619322
114,2017,.45486909,.79490077,-.046874594,-.46264735,60.688484,53.124996,-.19723907,-.054924317,.51124835,.016000001,0,.70934898,9.3244457,-.0028018951,-5.3845158,55.512501,1.7665935,61.223816,64.055252,-3.5285084,19.043247
114,2018,2.5301654,-.046874594,.45486909,1.3367461,64.055252,59.645897,.70216733,.79490077,-.19723907,-1.048,0,.70934898,9.3244457,.0037498474,4.2367139,55.512501,1.0708313,59.713188,60.560581,-5.3845158,19.040445
114,2019,.1299535,.45486909,2.5301654,1.0112522,60.560581,64.966125,-.46264735,-.046874594,.70216733,-.84799999,0,.70934898,9.3244457,-.00028800964,-4.7465887,55.512501,2.6531332,61.479782,53.124996,4.2367139,19.044195
114,2020,.095811412,2.5301654,.1299535,.49457017,53.124996,59.103989,1.3367461,.45486909,-.46264735,.477,0,.70934898,9.3244457,-.006313324,1.7014426,55.512501,-1.7391579,62.550613,59.645897,-4.7465887,19.043907
115,2017,.6916486,.3678323,.66513085,.77451015,60.005001,57.078491,1.0280864,1.1688564,.44741881,.47799999,0,.74309617,8.5329475,.015546799,1.4382455,50.830288,6.8030996,66.003647,69.67263,-.69405431,21.617628
115,2018,.87634385,.66513085,.6916486,.84490716,69.67263,59.273674,.79555076,.3678323,1.0280864,-1.049,0,.74309617,8.5329475,.021060944,-2.0351772,50.830288,-6.8313885,60.238644,58.607655,1.4382455,21.633175
115,2019,1.0922904,.6916486,.87634385,.58657873,58.607655,56.26001,.77451015,.66513085,.79555076,-.70499998,0,.74309617,8.5329475,.0050582886,1.3521998,50.830288,4.6486297,67.04174,57.078491,-2.0351772,21.654236
115,2020,.5492245,.87634385,1.0922904,1.4567902,57.078491,64.370522,.84490716,.6916486,.77451015,-.26499999,0,.74309617,8.5329475,.016065598,-.47311109,50.830288,2.8767087,60.210354,59.273674,1.3521998,21.659294
116,2017,.19215609,.73125356,.49650213,.60400349,58.544746,56.057831,.90228379,.92478573,.47215274,.403,0,.7513476,9.1288462,.012454987,1.341773,49.689999,6.2545943,65.016747,68.389206,-1.0385411,20.161774
116,2018,.96455437,.49650213,.19215609,.64385736,68.389206,56.243454,.78511906,.73125356,.90228379,-1.082,0,.7513476,9.1288462,.025764465,-2.5973525,49.689999,-7.6733613,60.083565,60.626076,1.341773,20.174229
116,2019,.78541166,.19215609,.96455437,.62656033,60.626076,57.201809,.60400349,.49650213,.78511906,-.47400001,0,.7513476,9.1288462,.0027256012,5.3766117,49.689999,6.5749078,66.338158,56.057831,-2.5973525,20.199993
116,2020,.52431476,.96455437,.78541166,.98312646,56.057831,62.938915,.64385736,.19215609,.60400349,.075999998,0,.7513476,9.1288462,.0066585541,-6.5015483,49.689999,.43171966,58.664799,56.243454,5.3766117,20.202719
117,2017,1.005257,2.2945735,1.678821,.82595247,62.302052,62.693832,.54143023,2.073669,.93590373,.50300002,0,.64636022,10.316125,-.010370255,-10.263024,59.674999,2.5619659,63.936783,70.833336,-1.6121157,18.229574
117,2018,1.6630665,1.678821,1.005257,.9531669,70.833336,60.942326,2.3864005,2.2945735,.54143023,-1.39,0,.64636022,10.316125,-.021753311,-4.8142128,59.674999,-8.081315,65.950722,66.181335,-10.263024,18.219204
117,2019,1.0222108,1.005257,1.6630665,1.2946303,66.181335,62.366867,.82595247,1.678821,2.3864005,-.88800001,0,.64636022,10.316125,.0025691986,-2.9494443,59.674999,8.4247341,68.512688,62.693832,-4.8142128,18.197451
117,2020,2.0142887,1.6630665,1.0222108,1.8832606,62.693832,64.723877,.9531669,1.005257,.82595247,-.42399999,0,.64636022,10.316125,-.02340889,-5.443994,59.674999,-.26462054,60.431374,60.942326,-2.9494443,18.20002
118,2017,.48667541,.62738138,.032530487,.15683725,59.138355,53.544727,.16140892,.22910789,.3521001,.28099999,0,.71352178,9.2152042,-.0026283264,-.32253519,50.364838,4.2719522,62.36145,65.541748,-.63473421,20.655022
118,2018,.90445524,.032530487,.48667541,.56087118,65.541748,57.90081,.69895369,.62738138,.16140892,-1.085,0,.71352178,9.2152042,.011919022,-.50785571,50.364838,-5.716783,59.804363,59.4627,-.32253519,20.652393
118,2019,.57981044,.48667541,.90445524,.66656297,59.4627,56.811913,.15683725,.032530487,.69895369,-.58700001,0,.71352178,9.2152042,.0070304871,-2.1570377,50.364838,6.9325352,64.076317,53.544727,-.50785571,20.664312
118,2020,-.1164512,.90445524,.57981044,1.0681757,53.544727,61.953228,.56087118,.48667541,.15683725,-.134,0,.71352178,9.2152042,.000057220459,.54222101,50.364838,.60000443,58.359531,57.90081,-2.1570377,20.671343
119,2017,.84879082,.47489664,.057520587,.34130016,59.913963,54.067318,1.0588932,1.020308,.58214384,.61199999,0,.72533703,8.1147776,.0075836182,-2.5045865,44.983677,4.8864522,65.937317,68.222878,-3.3877928,20.747366
119,2018,.90729064,.057520587,.84879082,.79366821,68.222878,60.221096,.71781778,.47489664,1.0588932,-.98699999,0,.72533703,8.1147776,.021614075,2.8067603,44.983677,-5.1147947,60.101074,59.069904,-2.5045865,20.75495
119,2019,1.0392588,.84879082,.90729064,.73616511,59.069904,56.673195,.34130016,.057520587,.71781778,-.68699998,0,.72533703,8.1147776,.0062484741,-1.9589554,44.983677,5.980866,64.987526,54.067318,2.8067603,20.776564
119,2020,.0070434273,.90729064,1.0392588,1.037338,54.067318,63.950035,.79366821,.84879082,.34130016,-.32699999,0,.72533703,8.1147776,-.00016212463,-1.4972858,44.983677,-.16765988,59.872734,60.221096,-1.9589554,20.782812
120,2017,-.034928393,-.1901913,.35429919,.78372228,60.164371,55.483601,.69965661,.5127632,.60284203,1.1109999,0,.73438525,8.6957731,.014268875,-4.0390086,48.463001,9.8516531,64.33847,66.801743,3.7205346,21.00836
120,2018,.57136303,.35429919,-.034928393,.21633036,66.801743,55.176746,.1508532,-.1901913,.69965661,-1.125,0,.73438525,8.6957731,.021589279,-1.90053,48.463001,-10.276357,57.3083,55.995872,-4.0390086,21.022629
120,2019,.2265337,-.034928393,.57136303,.32195264,55.995872,53.951241,.78372228,.35429919,.1508532,-.90200001,0,.73438525,8.6957731,.015949249,3.3961861,48.463001,6.5093803,67.15995,55.483601,-1.90053,21.044218
120,2020,-.007479059,.57136303,.2265337,.68132442,55.483601,59.889122,.21633036,-.034928393,.78372228,-.48300001,0,.73438525,8.6957731,.005947113,-3.6368937,48.463001,.56932437,56.883598,55.176746,3.3961861,21.060167
121,2017,.60363072,.81647348,1.1869744,.44304907,58.840393,59.413441,.65647221,.74192512,-.057203725,.70899999,0,.68891096,8.8525982,-.00033950806,3.6009033,55.244308,2.9200332,64.632523,66.852638,-9.9553871,21.388578
121,2018,.67543292,1.1869744,.60363072,.61990446,66.852638,58.184837,1.3753954,.81647348,.65647221,-1.2,0,.68891096,8.8525982,.012878418,.25618535,55.244308,-6.3935809,62.569698,61.091942,3.6009033,21.388239
121,2019,.49698594,.60363072,.67543292,.23751137,61.091942,55.113708,.44304907,1.1869744,1.3753954,-.995,0,.68891096,8.8525982,.00756073,-5.0857401,55.244308,3.2567661,65.489731,59.413441,.25618535,21.401117
121,2020,-.11813413,.67543292,.49698594,.96346968,59.413441,61.096813,.61990446,.60363072,.44304907,-.329,0,.68891096,8.8525982,.0043087006,.16426612,55.244308,3.1861231,59.096149,58.184837,-5.0857401,21.408678
122,2017,.12813848,.57306826,.30607975,.42257908,56.582146,54.972385,-.36645684,-.44751647,-.96080595,.38600001,0,.68156463,9.490222,-.010656357,5.2618618,50.252499,9.0816708,61.103127,63.210972,-11.406427,19.47929
122,2018,.45720813,.30607975,.12813848,.41956568,63.210972,58.062893,-.30326465,.57306826,-.36645684,-1.355,0,.68156463,9.490222,.023353577,2.7443929,50.252499,-6.1967216,56.619572,60.110149,5.2618618,19.468634
122,2019,1.3218921,.12813848,.45720813,.016331995,60.110149,53.29097,.42257908,.30607975,-.30326465,-.94099998,0,.68156463,9.490222,.0030784607,-10.088641,50.252499,2.4094503,65.701241,54.972385,2.7443929,19.491987
122,2020,.083327919,.45720813,1.3218921,1.4619614,54.972385,65.59549,.41956568,.12813848,.42257908,-.102,0,.68156463,9.490222,.0035171509,-2.7457464,50.252499,5.4797888,59.50452,58.062893,-10.088641,19.495066
123,2017,.8926869,.94480038,1.4088076,.77935284,54.690353,62.542267,1.2196174,.65062171,.18537115,.62300003,0,.69054604,9.4928885,-.0038871765,1.1467067,52.11158,4.8070135,66.211693,66.977707,-17.292633,19.671421
123,2018,1.2040794,1.4088076,.8926869,1.2546413,66.977707,60.970013,1.4612863,.94480038,1.2196174,-.90600002,0,.69054604,9.4928885,.024591446,-3.6075976,52.11158,-5.0096793,62.978302,61.792301,1.1467067,19.667534
123,2019,.91182947,.8926869,1.2040794,.13375257,61.792301,59.104496,.77935284,1.4088076,1.4612863,-.89499998,0,.69054604,9.4928885,.008266449,-1.7941397,52.11158,-2.2557731,67.785316,62.542267,-3.6075976,19.692125
123,2020,.42462593,1.2040794,.91182947,1.2321286,62.542267,63.741879,1.2546413,.8926869,.77935284,-.40599999,0,.69054604,9.4928885,-.0065879822,1.2432448,52.11158,6.2169275,62.775639,60.970013,-1.7941397,19.700392
124,2017,1.3679051,-.15151882,.60191351,.41762683,55.981621,56.740273,.80699682,.57618552,.54466301,.62,0,.69159067,9.4762325,.00091362,.09124507,56.549698,4.5677052,65.120247,66.07299,-3.869694,20.227646
124,2018,.35016859,.60191351,1.3679051,1.1150376,66.07299,62.954617,.95287883,-.15151882,.80699682,-.91000003,0,.69159067,9.4762325,.0052223206,1.8380144,56.549698,-2.8061485,60.88435,56.106846,.09124507,20.228559
124,2019,.57425845,1.3679051,.35016859,1.0317314,56.106846,53.277096,.41762683,.60191351,.95287883,-.33700001,0,.69159067,9.4762325,.0013256073,-1.6967889,56.549698,4.5067782,65.452057,56.740273,1.8380144,20.233782
124,2020,-.039307058,.35016859,.57425845,.98693055,56.740273,62.105652,1.1150376,1.3679051,.41762683,-.086999997,0,.69159067,9.4762325,.002954483,-2.7923558,56.549698,-1.3132888,62.645908,62.954617,-1.6967889,20.235107
125,2017,.071183957,-.35126624,-.22768494,-.057740938,57.375633,52.569191,.16585119,.23223153,-.06127781,1.105,0,.69159174,8.7127476,.0019435883,-1.1920817,58.021305,4.3777323,62.231457,64.418434,1.9308436,21.361818
125,2018,.28791952,-.22768494,.071183957,.28872335,64.418434,55.636368,.52074003,-.35126624,.16585119,-.78399998,0,.69159174,8.7127476,.016914368,-.12842472,58.021305,-5.9171381,59.077568,54.84679,-1.1920817,21.363762
125,2019,.22218797,.071183957,.28791952,.14359361,54.84679,52.248108,-.057740938,-.22768494,.52074003,-.92199999,0,.69159174,8.7127476,-.0002784729,-1.6960286,58.021305,4.7329116,63.455299,52.569191,-.12842472,21.380676
125,2020,-.069877289,.28791952,.22218797,.4808673,52.569191,59.834415,.28872335,.071183957,-.057740938,-.219,0,.69159174,8.7127476,.005941391,-1.7354279,58.021305,.90402454,57.538162,55.636368,-1.6960286,21.380398
126,2017,1.0789348,-.47974086,.75621694,.48124224,58.560562,58.142601,.29432407,.28757918,-.051075116,.81300002,0,.70055747,8.3934574,-.008310318,.43581268,56.905121,7.9521704,63.09967,64.654022,-3.3571684,20.758385
126,2018,1.1157348,.75621694,1.0789348,.94911867,64.654022,61.873688,.30014151,-.47974086,.29432407,-1.007,0,.70055747,8.3934574,.0080814362,-3.4060724,56.905121,-4.9309635,57.967434,53.760334,.43581268,20.750074
126,2019,.898745,1.0789348,1.1157348,.78480768,53.760334,56.324375,.48124224,.75621694,.30014151,-.99900001,0,.70055747,8.3934574,.0047740936,.65728337,56.905121,3.2253795,65.919601,58.142601,-3.4060724,20.758156
126,2020,.55836254,1.1157348,.898745,.83379734,58.142601,63.292358,.94911867,1.0789348,.48124224,-.15899999,0,.70055747,8.3934574,-.0059642792,3.3841786,56.905121,.46357092,60.98864,61.873688,.65728337,20.76293
127,2017,.53907543,-.21361452,-.63751149,-.53887224,55.488689,49.991867,.3327665,-.36516136,.24950361,.86199999,0,.71273512,9.324708,-.0049495697,-4.7885656,61.706612,2.7751577,62.774387,62.441551,3.2689872,20.855814
127,2018,.041935131,-.63751149,.53907543,.81388158,62.441551,58.431728,.34635004,-.21361452,.3327665,-.90100002,0,.71273512,9.324708,.015668869,.37318984,61.706612,-.85151809,58.235947,55.28532,-4.7885656,20.850864
127,2019,.26172891,.53907543,.041935131,.10711347,55.28532,50.864948,-.53887224,-.63751149,.34635004,-.67500001,0,.71273512,9.324708,.0051441193,-.62107551,61.706612,2.6124504,61.011105,49.991867,.37318984,20.866533
127,2020,-.75702071,.041935131,.26172891,.56827259,49.991867,59.967278,.81388158,.53907543,-.53887224,-.055,0,.71273512,9.324708,.0091724396,-1.0223345,61.706612,.62762111,60.159588,58.431728,-.62107551,20.871677
128,2017,1.0307492,.30985898,-.078517832,.22852321,57.865345,54.070744,.77233404,1.2010543,-.50912946,.625,0,.72902846,9.3372555,.0010814667,2.2935326,60.894287,5.7594833,64.621475,68.580742,-.12877615,20.192402
128,2018,1.3683522,-.078517832,1.0307492,.52655578,68.580742,61.735733,.48394805,.30985898,.77233404,-1.1900001,0,.72902846,9.3372555,.012298584,-4.0531683,60.894287,-4.718091,59.136261,57.568008,2.2935326,20.193483
128,2019,1.0198367,1.0307492,1.3683522,.31956553,57.568008,55.764343,.22852321,-.078517832,.48394805,-.84899998,0,.72902846,9.3372555,-.0010929108,1.768569,60.894287,1.6192794,64.895744,54.070744,-4.0531683,20.205782
128,2020,.91572243,1.3683522,1.0198367,1.5959501,54.070744,64.154243,.52655578,1.0307492,.22852321,.057,0,.72902846,9.3372555,-.00897789,-.2103797,60.894287,6.5612459,60.177654,61.735733,1.768569,20.204689
129,2017,-.33237326,-.55197841,-.34819159,.31290412,53.190544,52.031307,-.29683381,.55345583,-.28697264,.523,0,.71071053,8.6467676,-.0077667236,3.7380807,61.918423,7.907712,61.179562,65.868126,.70443404,20.674242
129,2018,.19601797,-.34819159,-.33237326,-.29103374,65.868126,52.913189,-.043340232,-.55197841,-.29683381,-1.087,0,.71071053,8.6467676,.0018844604,-3.5054307,61.918423,-10.20153,56.603722,53.266994,3.7380807,20.666475
129,2019,-.16833165,-.33237326,.19601797,.12621491,53.266994,52.006439,.31290412,-.34819159,-.043340232,-.79900002,0,.71071053,8.6467676,-.008108139,-3.592207,61.918423,7.6375461,64.511436,52.031307,-3.5054307,20.66836
129,2020,-.51470917,.19601797,-.16833165,.51371539,52.031307,57.704716,-.29103374,-.33237326,.31290412,-.18000001,0,.71071053,8.6467676,-.0011196136,1.9585744,61.918423,1.2567056,54.309902,52.913189,-3.592207,20.660252
130,2017,-.25155896,-.27916494,.043067202,.50873315,57.335503,53.769569,.62433028,.152731,.077014156,1.126,0,.70826602,8.6001606,.026006699,-.48333937,47.593636,8.5640774,63.843441,64.291435,-1.9646746,19.824642
130,2018,.23946887,.043067202,-.25155896,.10771308,64.291435,53.715374,.18187405,-.27916494,.62433028,-1.118,0,.70826602,8.6001606,.0078907013,-1.5917106,47.593636,-9.8202839,57.179749,54.238693,-.48333937,19.850649
130,2019,.42614201,-.25155896,.23946887,.29473487,54.238693,51.764648,.50873315,.043067202,.18187405,-1.475,0,.70826602,8.6001606,.0090179443,3.1049819,47.593636,6.8909693,65.743828,53.769569,-1.5917106,19.85854
130,2020,-.77773076,.23946887,.42614201,.72523719,53.769569,61.064629,.10771308,-.25155896,.50873315,-.33500001,0,.70826602,8.6001606,-.0022850037,-2.1728582,47.593636,1.8585849,55.923542,53.715374,3.1049819,19.867558
