cod_sll2011,cod_region,year,punt_wle_medio_mat5,distretto,dummy_sll_A,dummy_sll_B_turistico,dummy_sll_B_nonturistico,dummy_sll_C,dummy_sll_D,classe_dim_1,classe_dim_2,classe_dim_3,classe_dim_4,classe_dim_5,share_UNIgraduates_3034,share_HSgraduates_2564,share_urb_area,SNAI_56,log_gini_index,punt_perc_medio_ita5,sd_punt_perc_medio_ita5,punt_wle_medio_ita5,sd_punt_wle_medio_ita5,perc_copert_ita5,punt_perc_medio_mat5,sd_punt_perc_medio_mat5,sd_punt_wle_medio_mat5,perc_copert_mat5,redd_pc,quota_redd_pens,quota_redd_dip,tassodidisoccupazione,share_pop_65plus,share_pop_for,avg_price_house,share_mayor_graduate,share_recycling,share_manufacturing,log_pop,log_redd_compl,l1punt_wle_medio_mat5,log_gini_index_chg,punt_perc_medio_ita5_chg,sd_punt_perc_medio_ita5_chg,punt_wle_medio_ita5_chg,sd_punt_wle_medio_ita5_chg,perc_copert_ita5_chg,punt_perc_medio_mat5_chg,sd_punt_perc_medio_mat5_chg,sd_punt_wle_medio_mat5_chg,perc_copert_mat5_chg,redd_pc_chg,quota_redd_pens_chg,quota_redd_dip_chg,tassodidisoccupazione_chg,share_pop_65plus_chg,share_pop_for_chg,avg_price_house_chg,share_mayor_graduate_chg,share_recycling_chg,share_manufacturing_chg,log_pop_chg,log_redd_compl_chg,l2log_gini_index_chg,l2punt_perc_medio_ita5_chg,l2sd_punt_perc_medio_ita5_chg,l2punt_wle_medio_ita5_chg,l2sd_punt_wle_medio_ita5_chg,l2perc_copert_ita5_chg,l2punt_perc_medio_mat5_chg,l2sd_punt_perc_medio_mat5_chg,l2sd_punt_wle_medio_mat5_chg,l2perc_copert_mat5_chg,l2redd_pc_chg,l2quota_redd_pens_chg,l2quota_redd_dip_chg,l2tassodidisoccupazione_chg,l2share_pop_65plus_chg,l2share_pop_for_chg,l2avg_price_house_chg,l2share_mayor_graduate_chg,l2share_recycling_chg,l2share_manufacturing_chg,l2log_pop_chg,l2log_redd_compl_chg,l3log_gini_index_chg,l3punt_perc_medio_ita5_chg,l3sd_punt_perc_medio_ita5_chg,l3punt_wle_medio_ita5_chg,l3sd_punt_wle_medio_ita5_chg,l3perc_copert_ita5_chg,l3punt_perc_medio_mat5_chg,l3sd_punt_perc_medio_mat5_chg,l3sd_punt_wle_medio_mat5_chg,l3perc_copert_mat5_chg,l3redd_pc_chg,l3quota_redd_pens_chg,l3quota_redd_dip_chg,l3tassodidisoccupazione_chg,l3share_pop_65plus_chg,l3share_pop_for_chg,l3avg_price_house_chg,l3share_mayor_graduate_chg,l3share_recycling_chg,l3share_manufacturing_chg,l3log_pop_chg,l3log_redd_compl_chg,l1punt_wle_medio_mat5_chg,l2punt_wle_medio_mat5_chg,l3punt_wle_medio_mat5_chg,l2log_gini_index,l2punt_perc_medio_ita5,l2sd_punt_perc_medio_ita5,l2punt_wle_medio_ita5,l2sd_punt_wle_medio_ita5,l2perc_copert_ita5,l2punt_perc_medio_mat5,l2sd_punt_perc_medio_mat5,l2sd_punt_wle_medio_mat5,l2perc_copert_mat5,l2redd_pc,l2quota_redd_pens,l2quota_redd_dip,l2tassodidisoccupazione,l2share_pop_65plus,l2share_pop_for,l2avg_price_house,l2share_mayor_graduate,l2share_recycling,l2share_manufacturing,l2log_pop,l2log_redd_compl,l3log_gini_index,l3punt_perc_medio_ita5,l3sd_punt_perc_medio_ita5,l3punt_wle_medio_ita5,l3sd_punt_wle_medio_ita5,l3perc_copert_ita5,l3punt_perc_medio_mat5,l3sd_punt_perc_medio_mat5,l3sd_punt_wle_medio_mat5,l3perc_copert_mat5,l3redd_pc,l3quota_redd_pens,l3quota_redd_dip,l3tassodidisoccupazione,l3share_pop_65plus,l3share_pop_for,l3avg_price_house,l3share_mayor_graduate,l3share_recycling,l3share_manufacturing,l3log_pop,l3log_redd_compl,l2punt_wle_medio_mat5,l3punt_wle_medio_mat5
101,1,2017,.50055265,0,0,0,0,0,1,0,0,0,1,0,25.95027777777777,59.24555555555556,.098524384,0,-.88753027,66.40502566592434,16.25055966154019,.57555205,35.02659440859031,92.04988308651598,54.71304475578202,17.37143770370962,34.84911457250361,91.58222915042869,24266.955,.2974081,.49441019,8.664999999999999,.23650308,.071826972,898.52429,.30555555,.74125415,.39797464,11.790224,21.527588,.21904925,-.0046139359,6.694315,.13578381,-.13507402,-1.5349141,-.012431454,-3.9415734,-1.1729679,-1.5724063,-.02875823,216.23828,.00062400103,.000022411346,-.89899999,.0041422397,-.00083356351,-40.694458,-.055555552,.026607335,-.0057834387,-.0013551712,.010721207,.0069431663,-6.97224,.778476,-.48964494,-.381102,4.0948348,-9.974103,3.4983976,-1.3881811,4.0500116,490.66797,-.00096863508,.0026297867,-.91000003,.003256157,-.0029293969,-77.205688,0,.0054395199,-.013904423,-.0047864914,.022354126,.0079203248,-10.785193,2.0401955,.33330482,.63839948,-6.8241868,8.1652546,-2.38065,-.53654087,-7.230691,318.7168,.0051819682,-.0076174438,.65799999,.0053887963,-.00021573901,-65.877197,0,.019379675,.025126845,-.0012273788,.018404007,-.22268152,-.58275056,.15947992,-.8898595,66.682953,15.3363,1.200271,36.942612,87.967476,68.628723,15.046008,37.8097,87.560974,23560.049,.29775274,.49175799,10.474,.22910468,.075589933,1016.4244,.3611111,.7092073,.4176625,11.796366,21.494513,-.89777982,77.468147,13.296104,.86696619,36.304211,94.791664,60.463467,17.426659,38.346241,94.791664,23241.332,.29257077,.49937543,9.816,.22371589,.075805672,1082.3016,.3611111,.68982762,.39253566,11.797593,21.476109,.44173077,1.0244813
101,1,2018,.51041257,0,0,0,0,0,1,0,0,0,1,0,25.95027777777777,59.24555555555556,.098524384,0,-.87558979,59.06447081094284,18.09951815267114,.64775419,35.63313059116718,92.9140127388535,57.87334438001913,18.54220079617047,37.01751902249489,92.67515923566879,24410.93,.29894173,.50552589,8.547000000000001,.24010791,.072647139,881.39465,.30555555,.77961588,.38866457,11.787484,21.537241,.50055265,.011940479,-7.3405547,1.8489585,.072202146,.60653621,.86412966,3.1602995,1.1707631,2.1684043,1.0929301,143.97461,.0015336275,.0111157,-.118,.0036048293,.00082016736,-17.129639,0,.038361728,-.0093100667,-.0027399063,.0096530914,-.0046139359,6.694315,.13578381,-.13507402,-1.5349141,-.012431454,-3.9415734,-1.1729679,-1.5724063,-.02875823,216.23828,.00062400103,.000022411346,-.89899999,.0041422397,-.00083356351,-40.694458,-.055555552,.026607335,-.0057834387,-.0013551712,.010721207,.0069431663,-6.97224,.778476,-.48964494,-.381102,4.0948348,-9.974103,3.4983976,-1.3881811,4.0500116,490.66797,-.00096863508,.0026297867,-.91000003,.003256157,-.0029293969,-77.205688,0,.0054395199,-.013904423,-.0047864914,.022354126,.28150341,-.22268152,-.58275056,-.88291633,59.710712,16.114777,.71062607,36.561508,92.062317,58.654617,18.544405,36.42152,91.610985,24050.717,.2967841,.49438778,9.5640001,.23236084,.072660536,939.21875,.3611111,.71464682,.40375808,11.791579,21.516867,-.8898595,66.682953,15.3363,1.200271,36.942612,87.967476,68.628723,15.046008,37.8097,87.560974,23560.049,.29775274,.49175799,10.474,.22910468,.075589933,1016.4244,.3611111,.7092073,.4176625,11.796366,21.494513,.21904925,.44173077
101,1,2019,.48719209,0,0,0,0,0,1,0,0,0,1,0,25.95027777777777,59.24555555555556,.098524384,0,-.87206709,65.12879369236889,16.90667473698661,.58188099,34.29839355575386,92.74900398406375,54.00936994118519,19.99704061392578,35.88019798377694,91.95219123505977,24897.402,.29630703,.50389522,7.693,.24298674,.073333181,876.18054,.30555555,.78945118,.37733278,11.783509,21.571417,.51041257,.0035226941,6.0643229,-1.1928434,-.065873206,-1.3347371,-.16500875,-3.8639743,1.4548398,-1.137321,-.72296798,486.47266,-.0026347041,-.0016306639,-.85399997,.0028788298,.00068604201,-5.2141113,0,.0098353028,-.011331797,-.0039749146,.034175873,.011940479,-7.3405547,1.8489585,.072202146,.60653621,.86412966,3.1602995,1.1707631,2.1684043,1.0929301,143.97461,.0015336275,.0111157,-.118,.0036048293,.00082016736,-17.129639,0,.038361728,-.0093100667,-.0027399063,.0096530914,-.0046139359,6.694315,.13578381,-.13507402,-1.5349141,-.012431454,-3.9415734,-1.1729679,-1.5724063,-.02875823,216.23828,.00062400103,.000022411346,-.89899999,.0041422397,-.00083356351,-40.694458,-.055555552,.026607335,-.0057834387,-.0013551712,.010721207,.0098599195,.28150341,-.22268152,-.88753027,66.405029,16.250559,.57555205,35.026596,92.049881,54.713043,17.371437,34.849113,91.58223,24266.955,.2974081,.49441019,8.665,.23650308,.071826972,898.52429,.30555555,.74125415,.39797464,11.790224,21.527588,-.88291633,59.710712,16.114777,.71062607,36.561508,92.062317,58.654617,18.544405,36.42152,91.610985,24050.717,.2967841,.49438778,9.5640001,.23236084,.072660536,939.21875,.3611111,.71464682,.40375808,11.791579,21.516867,.50055265,.21904925
101,1,2020,.34032685,0,0,0,0,0,1,0,0,0,1,0,25.95027777777777,59.24555555555556,.098524384,0,-.87849939,65.09363078148063,20.26019905129595,.8803156,39.47418569746483,92.776886035313,61.24962429019307,18.88444344049579,36.97755649309111,93.17817014446229,24839.98,.3067483,.5086956,7.1,.24748844,.073050916,859.34375,.31428573,.79391783,.38661474,11.782151,21.564739,.48719209,-.0064322948,-.035162911,3.3535242,.29843462,5.1757922,.027882051,7.2402544,-1.1125972,1.0973585,1.2259789,-57.421875,.010441273,.0048003793,-.59299999,.0045017004,-.00028226525,-16.836792,.0087301731,.0044666529,.0092819631,-.0013580322,-.0066776276,.0035226941,6.0643229,-1.1928434,-.065873206,-1.3347371,-.16500875,-3.8639743,1.4548398,-1.137321,-.72296798,486.47266,-.0026347041,-.0016306639,-.85399997,.0028788298,.00068604201,-5.2141113,0,.0098353028,-.011331797,-.0039749146,.034175873,.011940479,-7.3405547,1.8489585,.072202146,.60653621,.86412966,3.1602995,1.1707631,2.1684043,1.0929301,143.97461,.0015336275,.0111157,-.118,.0036048293,.00082016736,-17.129639,0,.038361728,-.0093100667,-.0027399063,.0096530914,-.023220479,.0098599195,.28150341,-.87558979,59.064472,18.099518,.64775419,35.633129,92.914009,57.873344,18.5422,37.017521,92.675156,24410.93,.29894173,.50552589,8.5469999,.24010791,.072647139,881.39465,.30555555,.77961588,.38866457,11.787484,21.537241,-.88753027,66.405029,16.250559,.57555205,35.026596,92.049881,54.713043,17.371437,34.849113,91.58223,24266.955,.2974081,.49441019,8.665,.23650308,.071826972,898.52429,.30555555,.74125415,.39797464,11.790224,21.527588,.51041257,.50055265
102,1,2017,1.0812253,0,0,0,1,0,0,0,0,0,1,0,23.32448484848485,59.53030303030302,.10139178,0,-.9850921,66.3386435901392,16.68009861901457,.57617658,36.31379364143753,91.37737961926092,57.23233595557495,18.29904602743049,36.69576918666932,90.36954087346024,22269.723,.36302456,.47530293,9.284000000000001,.27498356,.067855932,582.10333,.36363637,.6437459,.21108875,11.515781,21.212658,.67261314,-.0061534047,3.4104702,.86656129,-.91690606,-1.1400985,-.25157964,-3.5949779,-.71325594,-2.1630988,-.69380754,90.632813,.002636075,-.003447175,-.94099998,.0032511353,.0043548644,-40.294983,0,.0259161,.029865742,-.0023107529,-.0023040771,.016134262,-4.1061225,1.0277342,.087040782,-.38733196,4.1569233,-7.3607817,3.8521867,.33745703,3.4794557,411.85352,-.0030724108,.0053337514,-1.1849999,.0037409961,-.0021405742,-104.96442,-.018181801,-.0030500889,-.0089566708,-.0067720413,.018608093,-.0030357242,-9.9927597,-.73266,.67643714,-4.48809,-6.823266,7.2709413,-1.5848216,1.3401216,-5.7046981,447.04688,.00044628978,-.0047284365,.745,.0049098134,-.002292715,-15.428101,.072727263,.26021588,.0051393211,-.0091180801,.0088214874,-.21083647,.018292487,-.03545022,-.99507296,67.034294,14.785803,1.4060419,37.841225,87.472038,68.188095,15.160115,38.521412,87.583893,21767.236,.3634609,.47341636,11.41,.26799142,.065641642,727.36273,.38181818,.62087989,.19017968,11.524864,21.196354,-.99203724,77.027054,15.518463,.72960472,42.329315,94.295303,60.917152,16.744938,37.18129,93.288589,21320.189,.36301461,.47814479,10.665,.26308161,.067934357,742.79083,.30909091,.36066401,.18504035,11.533982,21.187532,.88344961,.86515713
102,1,2018,.82135677,0,0,0,1,0,0,0,0,0,1,0,23.32448484848485,59.53030303030302,.10139178,0,-.97294962,61.93743643173742,17.5074198756514,1.2644564,35.57734389387041,92.28070175438596,61.21935721702982,17.47885201342881,34.84588003039358,91.81286549707602,22413.869,.3636387,.48424298,8.997999999999999,.27718848,.069746204,576.57336,.36363637,.67565387,.18678001,11.509389,21.215363,1.0812253,.012142479,-4.401207,.82732123,.68827981,-.73644972,.90332216,3.9870212,-.82019401,-1.8498892,1.4433246,144.14648,.00061413646,.0089400411,-.28600001,.0022049248,.0018902719,-5.5299683,0,.031907976,-.024308741,-.0063924789,.0027046204,-.0061534047,3.4104702,.86656129,-.91690606,-1.1400985,-.25157964,-3.5949779,-.71325594,-2.1630988,-.69380754,90.632813,.002636075,-.003447175,-.94099998,.0032511353,.0043548644,-40.294983,0,.0259161,.029865742,-.0023107529,-.0023040771,.016134262,-4.1061225,1.0277342,.087040782,-.38733196,4.1569233,-7.3607817,3.8521867,.33745703,3.4794557,411.85352,-.0030724108,.0053337514,-1.1849999,.0037409961,-.0021405742,-104.96442,-.018181801,-.0030500889,-.0089566708,-.0067720413,.018608093,.40861213,-.21083647,.018292487,-.9789387,62.928173,15.813538,1.4930826,37.453892,91.62896,60.827312,19.012302,38.858868,91.063347,22179.09,.36038849,.47875011,10.225,.27173242,.063501067,622.39832,.36363637,.6178298,.18122301,11.518092,21.214962,-.99507296,67.034294,14.785803,1.4060419,37.841225,87.472038,68.188095,15.160115,38.521412,87.583893,21767.236,.3634609,.47341636,11.41,.26799142,.065641642,727.36273,.38181818,.62087989,.19017968,11.524864,21.196354,.67261314,.88344961
102,1,2019,.61572409,0,0,0,1,0,0,0,0,0,1,0,23.32448484848485,59.53030303030302,.10139178,0,-.96368963,66.04598200774731,17.51038565784955,.89945126,35.56795427191965,91.3953488372093,55.5248636725958,19.85228139018921,35.28415337196483,89.88372093023256,22815.377,.36024618,.48173338,8.117000000000001,.27931467,.069321327,574.48334,.35849056,.66611081,.20103571,11.50334,21.239754,.82135677,.0092599988,4.1085458,.0029657823,-.36500514,-.0093896221,-.88535291,-5.6944938,2.3734293,.43827334,-1.9291446,401.50781,-.0033925176,-.002509594,-.88099998,.0021261871,-.00042487681,-2.0900269,-.005145818,-.0095430613,.014255702,-.0060491562,.024391174,.012142479,-4.401207,.82732123,.68827981,-.73644972,.90332216,3.9870212,-.82019401,-1.8498892,1.4433246,144.14648,.00061413646,.0089400411,-.28600001,.0022049248,.0018902719,-5.5299683,0,.031907976,-.024308741,-.0063924789,.0027046204,-.0061534047,3.4104702,.86656129,-.91690606,-1.1400985,-.25157964,-3.5949779,-.71325594,-2.1630988,-.69380754,90.632813,.002636075,-.003447175,-.94099998,.0032511353,.0043548644,-40.294983,0,.0259161,.029865742,-.0023107529,-.0023040771,-.2598685,.40861213,-.21083647,-.9850921,66.338646,16.680099,.57617658,36.313793,91.37738,57.232334,18.299046,36.69577,90.369537,22269.723,.36302456,.47530293,9.2840004,.27498356,.067855932,582.10333,.36363637,.6437459,.21108875,11.515781,21.212658,-.9789387,62.928173,15.813538,1.4930826,37.453892,91.62896,60.827312,19.012302,38.858868,91.063347,22179.09,.36038849,.47875011,10.225,.27173242,.063501067,622.39832,.36363637,.6178298,.18122301,11.518092,21.214962,1.0812253,.67261314
102,1,2020,-.13177764,0,0,0,1,0,0,0,0,0,1,0,23.32448484848485,59.53030303030302,.10139178,0,-.97717476,67.82186213655119,19.76098533591847,1.5335742,39.57123628005868,92.30769230769231,61.96714052287232,19.2410698564826,37.63463524046082,92.07459207459208,22778.682,.37007904,.48501238,7.498,.28196722,.071248032,584.66302,.24074075,.67673975,.20384309,11.497964,21.229395,.61572409,-.013485134,1.7758801,2.2505996,.63412297,4.0032821,.91234344,6.442277,-.61121154,2.350482,2.1908712,-36.695313,.009832859,.0032790005,-.61900002,.0026525557,.0019267052,10.179688,-.11774981,.010628939,.0028073788,-.0053758621,-.01035881,.0092599988,4.1085458,.0029657823,-.36500514,-.0093896221,-.88535291,-5.6944938,2.3734293,.43827334,-1.9291446,401.50781,-.0033925176,-.002509594,-.88099998,.0021261871,-.00042487681,-2.0900269,-.005145818,-.0095430613,.014255702,-.0060491562,.024391174,.012142479,-4.401207,.82732123,.68827981,-.73644972,.90332216,3.9870212,-.82019401,-1.8498892,1.4433246,144.14648,.00061413646,.0089400411,-.28600001,.0022049248,.0018902719,-5.5299683,0,.031907976,-.024308741,-.0063924789,.0027046204,-.20563269,-.2598685,.40861213,-.97294962,61.937435,17.50742,1.2644564,35.577343,92.280701,61.219357,17.478851,34.845879,91.812866,22413.869,.3636387,.48424298,8.9980001,.27718848,.069746204,576.57336,.36363637,.67565387,.18678001,11.509389,21.215363,-.9850921,66.338646,16.680099,.57617658,36.313793,91.37738,57.232334,18.299046,36.69577,90.369537,22269.723,.36302456,.47530293,9.2840004,.27498356,.067855932,582.10333,.36363637,.6437459,.21108875,11.515781,21.212658,.82135677,1.0812253
103,1,2017,.31470814,0,0,0,0,1,0,0,0,0,1,0,20.2741304347826,51.48739130434782,.069432773,.065217391,-.96613169,62.93636011925575,17.94821523785405,-.14422834,38.08190510481234,89.88764044943819,54.97915365755037,18.5817512857401,37.50123510856439,89.08507223113965,21085.768,.33186284,.47573268,8.663,.2557492,.067572355,876.15338,.30434781,.51657671,.35373321,11.836725,21.461651,.19433628,.0020316243,5.8948593,1.4996881,-.26073542,1.3449091,-.36029345,-1.8840224,-.93998754,-.96822101,-1.5118207,147.67578,-.00058612227,.001444906,-.829,.00266397,.00054505467,-29.375,.021739125,.0052145123,.0089507103,-.0029468536,.0090065002,.014493406,-4.7679911,-.25440693,-.069382451,-2.0419493,2.7883871,-9.3071823,3.7676973,-.48285019,3.2991583,484.62891,-.0041063726,.0067093968,-.96100003,.0023661554,-.00039729476,-52.32489,0,-.027322412,-.004270345,-.0055379868,.01931572,-.00077837706,-12.918365,1.2651432,.050371394,-.09703441,.13011223,8.4465752,-2.6656175,-2.446754,-.61649537,266.87109,.002373904,-.00024193525,1.143,.0040816218,.00032365322,-57.559143,-.065217406,.0035319328,.0042650402,-.0031080246,.0047531128,.0290066,-.28858757,.18137994,-.98265672,61.80949,16.702934,.18588954,38.778946,87.459549,66.170357,15.754042,38.952305,87.297737,20453.463,.33655533,.46757838,10.453,.25071907,.067424595,957.85327,.28260869,.53868461,.34905285,11.84521,21.433329,-.98187834,74.727859,15.437791,.13551815,38.87598,87.329437,57.723785,18.419659,41.399059,87.91423,20186.592,.33418143,.46782032,9.3100004,.24663745,.067100942,1015.4124,.34782609,.53515267,.34478781,11.848318,21.428576,.16532968,.45391724
103,1,2018,.31108302,0,0,0,0,1,0,0,0,0,1,0,20.2741304347826,51.48739130434782,.069432773,.065217391,-.95471954,57.69950463508948,18.5055436326568,.40645105,36.67289741000533,89.92379339542761,56.76770870868342,19.35363152728356,39.34875762771897,91.1939034716342,21249.553,.33348542,.48557472,8.318,.25928289,.068664424,851.3587,.2888889,.54997098,.33712423,11.834197,21.467028,.31470814,.011412144,-5.2368555,.5573284,.55067939,-1.4090077,.036152948,1.788555,.77188027,1.8475225,2.1088312,163.78516,.0016225874,.0098420382,-.345,.0035336912,.0010920689,-24.794678,-.015458912,.033394277,-.016608983,-.0025281906,.0053768158,.0020316243,5.8948593,1.4996881,-.26073542,1.3449091,-.36029345,-1.8840224,-.93998754,-.96822101,-1.5118207,147.67578,-.00058612227,.001444906,-.829,.00266397,.00054505467,-29.375,.021739125,.0052145123,.0089507103,-.0029468536,.0090065002,.014493406,-4.7679911,-.25440693,-.069382451,-2.0419493,2.7883871,-9.3071823,3.7676973,-.48285019,3.2991583,484.62891,-.0041063726,.0067093968,-.96100003,.0023661554,-.00039729476,-52.32489,0,-.027322412,-.004270345,-.0055379868,.01931572,.12037186,.0290066,-.28858757,-.96816331,57.0415,16.448526,.11650709,36.736996,90.247932,56.863174,19.521738,38.469456,90.596893,20938.092,.33244896,.47428778,9.4919996,.25308523,.067027301,905.52838,.28260869,.5113622,.3447825,11.839672,21.452644,-.98265672,61.80949,16.702934,.18588954,38.778946,87.459549,66.170357,15.754042,38.952305,87.297737,20453.463,.33655533,.46757838,10.453,.25071907,.067424595,957.85327,.28260869,.53868461,.34905285,11.84521,21.433329,.19433628,.16532968
103,1,2019,.70791328,0,0,0,0,1,0,0,0,0,1,0,20.2741304347826,51.48739130434782,.069432773,.065217391,-.9556157,61.87609330470427,17.83002842714997,.032310527,35.49545405956751,91.77162048698573,52.50290415723995,21.13619976601127,38.38160662971738,91.183879093199,21703.803,.32977146,.48318499,7.52,.26177675,.070689604,846.02356,.32608697,.57418966,.33328566,11.832426,21.498598,.31108302,-.00089615583,4.1765885,-.67551523,-.37414053,-1.1774434,1.8478271,-4.2648044,1.7825682,-.96715099,-.010024378,454.25,-.0037139654,-.002389729,-.79799998,.0024938583,.0020251796,-5.335144,.037198067,.024218678,-.0038385689,-.0017709732,.031570435,.011412144,-5.2368555,.5573284,.55067939,-1.4090077,.036152948,1.788555,.77188027,1.8475225,2.1088312,163.78516,.0016225874,.0098420382,-.345,.0035336912,.0010920689,-24.794678,-.015458912,.033394277,-.016608983,-.0025281906,.0053768158,.0020316243,5.8948593,1.4996881,-.26073542,1.3449091,-.36029345,-1.8840224,-.93998754,-.96822101,-1.5118207,147.67578,-.00058612227,.001444906,-.829,.00266397,.00054505467,-29.375,.021739125,.0052145123,.0089507103,-.0029468536,.0090065002,-.0036251247,.12037186,.0290066,-.96613169,62.936359,17.948215,-.14422834,38.081905,89.887642,54.979153,18.581751,37.501236,89.085075,21085.768,.33186284,.47573268,8.6630001,.2557492,.067572355,876.15338,.30434781,.51657671,.35373321,11.836725,21.461651,-.96816331,57.0415,16.448526,.11650709,36.736996,90.247932,56.863174,19.521738,38.469456,90.596893,20938.092,.33244896,.47428778,9.4919996,.25308523,.067027301,905.52838,.28260869,.5113622,.3447825,11.839672,21.452644,.31470814,.19433628
103,1,2020,-.6694209,0,0,0,0,1,0,0,0,0,1,0,20.2741304347826,51.48739130434782,.069432773,.065217391,-.95052433,65.16675327402548,19.61812046465084,.88585639,37.86824265539992,91.69929522317932,62.4508232837646,18.30397762131225,35.83037794094493,91.91456903127384,21803.525,.33697701,.4874981,7.118,.26451311,.072159164,873.18402,.39130434,.58104897,.33179316,11.828969,21.498985,.70791328,.0050913692,3.2906599,1.788092,.85354584,2.3727887,-.072325267,9.9479189,-2.8322222,-2.5512288,.73068994,99.722656,.0072055459,.0043131113,-.40200001,.0027363598,.00146956,27.160461,.065217376,.0068593025,-.0014925003,-.0034570694,.00038719177,-.00089615583,4.1765885,-.67551523,-.37414053,-1.1774434,1.8478271,-4.2648044,1.7825682,-.96715099,-.010024378,454.25,-.0037139654,-.002389729,-.79799998,.0024938583,.0020251796,-5.335144,.037198067,.024218678,-.0038385689,-.0017709732,.031570435,.011412144,-5.2368555,.5573284,.55067939,-1.4090077,.036152948,1.788555,.77188027,1.8475225,2.1088312,163.78516,.0016225874,.0098420382,-.345,.0035336912,.0010920689,-24.794678,-.015458912,.033394277,-.016608983,-.0025281906,.0053768158,.39683026,-.0036251247,.12037186,-.95471954,57.699505,18.505543,.40645105,36.672897,89.92379,56.767708,19.353632,39.348759,91.193901,21249.553,.33348542,.48557472,8.3179998,.25928289,.068664424,851.3587,.2888889,.54997098,.33712423,11.834197,21.467028,-.96613169,62.936359,17.948215,-.14422834,38.081905,89.887642,54.979153,18.581751,37.501236,89.085075,21085.768,.33186284,.47573268,8.6630001,.2557492,.067572355,876.15338,.30434781,.51657671,.35373321,11.836725,21.461651,.31108302,.31470814
104,1,2017,.70093328,1,0,0,0,0,1,0,0,1,0,0,18.59604166666666,52.29795918367348,.087748319,.18367347,-1.024323,66.46874933974993,16.58634732898088,.6390022,35.63951732157726,91.68937329700273,58.8685139151375,19.31829695337284,39.91912133254739,91.68937329700273,21371.094,.33633718,.50514752,11.577,.24725182,.081511468,763.15833,.30612245,.54986346,.3984499,11.401134,21.013884,.9898383,-.00058734417,7.7971563,-.72877783,.27202427,-4.6074767,-.5044356,1.2783462,-.47736463,.60926133,-.5462358,186.82813,.00058096647,-.000243783,-1.283,.002748847,.0010931343,-16.766663,.020408154,.041382372,.0028147995,-.0019102097,.0049209595,.0089963675,-6.2714324,2.0835514,-.37413687,4.6503839,6.9952531,-9.7236958,4.3036966,-.28646755,6.9167161,281.80469,-.00054425001,.0062614977,-.21600001,.0029615313,-.0016554147,-56.008362,-.0059523582,.046503156,-.0036517382,-.0064640045,.0092773438,-.0042870045,-10.487327,1.4391856,.49788505,-1.3536475,-1.3399056,6.1767602,-1.8085405,1.5852263,-1.2195686,437.57813,.00032559037,-.0058294237,1.091,.0044112056,.0011465922,-32.680664,-.041666687,.10678732,.00063079596,-.0047016144,.012237549,.78821695,-.62480223,-.11379755,-1.032732,64.943024,15.231574,.7411148,35.596611,85.198555,67.313866,15.491964,39.596329,85.318893,20902.461,.33630046,.4991298,13.076,.24154145,.082073748,835.93335,.29166666,.46197793,.39928684,11.409508,20.999685,-1.028445,75.430351,13.792388,.24322976,36.950256,86.53846,61.137104,17.300505,38.011101,86.53846,20464.883,.33597487,.50495923,11.985,.23713024,.080927156,868.61401,.33333334,.3551906,.39865604,11.414209,20.987448,.20162137,.82642359
104,1,2018,.84494942,1,0,0,0,0,1,0,0,1,0,0,18.59604166666666,52.29795918367348,.087748319,.18367347,-1.007117,59.5535458401129,17.76948401534806,.62476742,36.26945462675795,89.79591836734694,59.25897914963536,19.91963445794554,41.42283499255594,90.61224489795919,21537.193,.33564585,.51508617,11.189,.25066775,.081944302,739.37219,.32653061,.52605557,.38641962,11.393365,21.022568,.70093328,.017205954,-6.9152036,1.1831367,-.014234781,.62993729,-1.8934549,.39046523,.60133749,1.5037136,-1.0771284,166.09961,-.00069132447,.0099386573,-.38800001,.0034159273,.00043283403,-23.786133,.020408154,-.023807883,-.012030274,-.007768631,.0086841583,-.00058734417,7.7971563,-.72877783,.27202427,-4.6074767,-.5044356,1.2783462,-.47736463,.60926133,-.5462358,186.82813,.00058096647,-.000243783,-1.283,.002748847,.0010931343,-16.766663,.020408154,.041382372,.0028147995,-.0019102097,.0049209595,.0089963675,-6.2714324,2.0835514,-.37413687,4.6503839,6.9952531,-9.7236958,4.3036966,-.28646755,6.9167161,281.80469,-.00054425001,.0062614977,-.21600001,.0029615313,-.0016554147,-56.008362,-.0059523582,.046503156,-.0036517382,-.0064640045,.0092773438,-.28890502,.78821695,-.62480223,-1.0237356,58.671593,17.315125,.36697793,40.246994,92.19381,57.590168,19.795662,39.30986,92.235611,21184.266,.33575621,.5053913,12.86,.24450298,.080418333,779.92499,.2857143,.50848109,.3956351,11.403044,21.008963,-1.032732,64.943024,15.231574,.7411148,35.596611,85.198555,67.313866,15.491964,39.596329,85.318893,20902.461,.33630046,.4991298,13.076,.24154145,.082073748,835.93335,.29166666,.46197793,.39928684,11.409508,20.999685,.9898383,.20162137
